"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2002,2,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2003,3,"T",17,4,1,0,26869,NA,2004,"F","GeoD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2004,4,"T",15,1,2,4,11868,NA,2030,"H","GRvr","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2005,5,"T",22,3,1,2,30908,NA,1581,"S","Wdb","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2006,6,"T",25,1,3,5,19177,NA,1591,"F","GeoD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2007,7,"T",23,1,3,2,16332,NA,2002,"H","FlmD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2008,8,"T",29,6,4,4,51488,NA,1550,"S","Wdb","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2009,9,"T",45,10,5,6,58609,NA,1584,"H","Stga","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2010,10,"T",15,2,2,0,8915,NA,1571,"F","PPk","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2011,11,"T",25,0,1,4,5867,NA,0,NA,NA,"DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2012,12,"T",20,3,0,1,5874,NA,1570,"F","PPk","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2013,13,"T",2,0,0,0,0,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2002,2,"T",7,1,1,2,64780,NA,1593,"M","BmlP","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2003,3,"T",3,0,0,0,500,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2004,4,"T",23,8,3,3,135361,NA,1532,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2005,5,"T",17,5,2,1,410699,NA,1530,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2006,6,"T",21,4,3,3,140129,NA,1530,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2007,7,"T",25,3,9,2,104933,"Q",1552,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2008,8,"T",22,3,2,2,84237,NA,1521,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2009,9,"T",28,1,5,7,54414,NA,1552,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2010,10,"T",10,2,2,0,25700,NA,1562,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2011,11,"T",23,5,2,1,17666,NA,1572,"F","DD","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2012,12,"T",26,2,3,4,9933,NA,2001,"F","PPk","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2013,13,"B",2,0,0,0,50,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2013,13,"T",16,5,1,4,9348,NA,2010,"H","MR","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2003,2,"P",1,0,0,0,0,NA,0,NA,NA,"DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2004,3,"P",15,1,2,1,5781,NA,2021,"H","GRvr","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2005,4,"T",26,6,8,4,27136,NA,1594,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2006,5,"T",34,6,6,6,48452,NA,1574,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2007,6,"T",34,6,5,7,62244,NA,1580,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2008,7,"T",34,5,8,5,60965,NA,1570,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2009,8,"T",25,4,2,2,19467,NA,1582,"H","GRvr","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2010,9,"T",7,0,0,0,0,NA,0,NA,NA,"DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2011,10,"T",1,0,0,0,0,NA,0,NA,NA,"DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2005,2,"T",3,0,0,1,2948,NA,0,NA,NA,"DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2006,3,"T",19,3,0,4,34268,NA,1573,"S","Wdb","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2007,4,"T",32,4,7,4,82778,NA,1552,"S","Wdb","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2008,5,"T",25,3,4,2,51227,NA,1553,"S","Moh","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2009,6,"T",23,5,3,1,73960,NA,1541,"S","Wdb","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2010,7,"T",14,3,1,2,21845,NA,1544,"S","VD","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2011,8,"T",31,3,4,6,23201,NA,1571,"F","PPk","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2012,9,"B",5,2,2,0,9112,NA,2002,"F","PcD","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2012,9,"T",33,10,4,2,25442,NA,1564,"S","VD","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2013,10,"B",3,0,0,0,400,NA,0,NA,NA,"DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2013,10,"T",34,2,5,2,10025,NA,1570,"S","VD","DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2014,11,"B",2,0,0,1,1314,NA,0,NA,NA,"DOM"
"3AT973","ARMBRO DOYLE","G","KING CONCH","ACCOMPANIMENT",2003,2014,11,"T",18,1,1,1,3452,NA,1583,"S","VD","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2007,3,"T",28,10,7,3,49683,NA,1583,"F","RidC","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2008,4,"T",22,1,2,6,22644,NA,2004,"F","RidC","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2009,5,"T",29,2,5,5,41714,NA,1550,"S","Moh","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2010,6,"T",20,2,1,1,11762,NA,1590,"F","RidC","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2011,7,"T",17,1,3,2,20397,NA,1574,"S","Wdb","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2012,8,"T",30,5,3,7,31887,NA,1563,"F","PPk","DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2013,9,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"7BE549","EN CONTROLE","R","SELF POSSESSED","NUTTY BUTTY",2004,2014,10,"T",9,0,0,0,804,NA,0,NA,NA,"DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2006,2,"P",8,1,0,1,18138,NA,1591,"S","HM","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2007,3,"P",26,3,1,2,18479,NA,1561,"S","HM","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2008,4,"P",34,8,5,7,29529,NA,1534,"F","PPk","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2009,5,"P",32,6,4,1,25971,NA,1542,"F","PPk","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2010,6,"P",32,6,8,4,30836,NA,1524,"F","PcD","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2011,7,"P",33,4,4,3,14048,NA,1541,"F","PPk","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2012,8,"P",30,6,7,4,17828,NA,1560,"F","PPk","DOM"
"6BM411","SOS RIVERTRAIL","M","PEARL RIVER MATT","THAMESVIEW IMAGE",2004,2013,9,"P",2,0,0,1,369,NA,0,NA,NA,"DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2008,4,"P",30,7,4,4,28442,NA,1532,"M","Indy","DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2009,5,"P",36,1,3,4,26593,NA,1571,"H","Har","DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2010,6,"P",22,2,7,3,28005,NA,1521,"M","Indy","DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2011,7,"P",21,3,5,2,19575,NA,1534,"F","PPk","DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2012,8,"P",15,10,2,3,25355,NA,1524,"F","PPk","DOM"
"1B5492","SPORTS REPORTER","G","ARTSPLACE","DEXTER LOBELL",2004,2013,9,"P",6,5,1,0,8250,NA,1523,"F","PPk","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2007,3,"T",31,1,5,4,13655,NA,2001,"M","Indy","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2008,4,"T",31,4,4,2,23800,NA,1564,"F","PPk","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2009,5,"T",26,3,5,5,31057,NA,1564,"F","PPk","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2010,6,"T",21,2,2,4,13256,NA,1583,"F","PPk","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2011,7,"T",22,4,6,3,15674,NA,1581,"F","PPk","DOM"
"6B2084","GENESISJERSEYSPEED","G","S J'S DOUBLE TAKE","JERSEYS IMAGE",2004,2012,8,"T",8,1,4,0,6130,NA,1581,"F","PPk","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2008,3,"T",10,0,1,4,8644,NA,0,NA,NA,"DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2009,4,"T",22,4,3,3,19339,NA,1572,"S","VD","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2010,5,"T",8,1,1,0,6070,NA,1584,"S","VD","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2011,6,"T",32,7,2,4,30103,NA,1560,"F","PPk","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2012,7,"T",38,6,6,9,40858,NA,1561,"F","PPk","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2013,8,"T",39,8,11,6,40265,NA,1553,"F","PPk","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2014,9,"T",35,6,4,3,22162,NA,1554,"S","VD","DOM"
"6C5052","SALOME MARVEL","M","LIKE A PRAYER","STREET WALK",2005,2015,10,"T",21,3,7,1,20161,NA,1560,"F","PPk","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2007,2,"T",4,0,0,0,0,NA,0,NA,NA,"DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2008,3,"T",6,1,2,1,7574,NA,2032,"H","FlmD","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2009,4,"T",21,10,4,1,44703,NA,1593,"H","GRvr","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2011,6,"T",15,2,8,2,24705,NA,1591,"H","GRvr","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2012,7,"T",36,4,8,5,42974,NA,1583,"H","FlmD","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2013,8,"T",22,4,1,1,12727,NA,2000,"H","GRvr","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2014,9,"T",38,11,5,5,35701,NA,1564,"F","Dtn","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2015,10,"T",44,6,4,5,38110,NA,1570,"F","ScD","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2016,11,"T",42,8,8,4,30519,NA,1582,"H","Nfld","DOM"
"8CL012","LOU LOUS PRINCESS","M","EARL","ITS GO TIME",2005,2017,12,"T",6,1,4,1,4212,NA,2012,"H","Fhld","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2007,2,"T",5,1,0,0,5870,NA,2010,"S","HM","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2008,3,"T",16,3,3,2,24939,"Q",2000,"H","HAy","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2009,4,"T",27,4,4,2,26695,"Q",1593,"F","RidC","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2010,5,"T",20,8,0,4,47592,NA,1550,"F","KD","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2011,6,"T",15,3,2,4,25137,NA,1552,"F","PPk","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2012,7,"T",29,8,6,0,75506,NA,1540,"S","Wdb","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2013,8,"T",39,13,8,1,189689,NA,1524,"F","PcD","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2014,9,"T",29,4,3,1,53930,NA,1562,"F","PcD","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2015,10,"T",28,6,2,3,41044,NA,1540,"F","PcD","DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2016,11,"T",1,0,0,0,0,NA,0,NA,NA,"DOM"
"9CT739","HESGOTLEGS","G","FEEL LIKE A WINNER","JALAMBAYA",2005,2017,12,"T",5,0,0,1,1028,NA,0,NA,NA,"DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2008,2,"P",1,0,0,0,0,NA,0,NA,NA,"DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2008,2,"T",9,4,0,0,4222,NA,2130,"H","Humb","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2009,3,"T",15,8,4,1,23140,"Q",2001,"F","PPk","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2010,4,"T",36,7,8,4,65045,NA,1551,"F","PcD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2011,5,"T",30,3,1,5,17299,NA,1554,"F","PPk","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2012,6,"T",41,2,7,7,14729,NA,1581,"S","VD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2013,7,"T",37,7,2,9,29278,NA,1541,"S","VD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2014,8,"T",35,6,3,3,20963,NA,1551,"S","VD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2015,9,"B",0,0,0,0,0,"Q",2050,"S","VD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2015,9,"T",22,3,1,3,7436,NA,1564,"S","VD","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2016,10,"T",35,6,6,2,25005,NA,1573,"F","PRc","DOM"
"7D6529","ALARMING QUICK","M","BRANDED","STORE ALARM",2006,2017,11,"T",6,2,1,1,7185,NA,1554,"F","DD","DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2008,2,"T",6,0,1,1,2422,NA,0,NA,NA,"DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2009,3,"T",18,1,3,1,6349,NA,2012,"F","PPk","DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2010,4,"T",27,2,2,6,15103,NA,1581,"F","PPk","DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2011,5,"T",38,6,5,6,24722,NA,1563,"F","PPk","DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2012,6,"T",38,6,6,5,23180,NA,1570,"F","PPk","DOM"
"0D5369","SUPER RAILEE","G","BASIL","RAILEE SUPER",2006,2013,7,"T",20,4,3,1,10320,NA,1582,"F","PPk","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2008,2,"T",1,0,0,0,0,NA,0,NA,NA,"DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2009,3,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2010,4,"T",17,4,0,2,13376,NA,1584,"F","PPk","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2011,5,"T",19,5,1,1,15985,NA,1561,"F","PPk","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2012,6,"T",21,2,2,3,8405,NA,1570,"F","PPk","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2013,7,"T",19,0,1,1,2665,NA,0,NA,NA,"DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2014,8,"T",20,1,4,0,9528,"Q",1582,"F","TgDn","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2015,9,"T",13,2,2,3,11102,"Q",1562,"F","PPk","DOM"
"1DF530","TIMBERRR","G","PINE TAR","CHARLIE GIRL",2006,2016,10,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"0E8032","NATURAL HANOVER","G","CREDIT WINNER","NO INHIBITIONS",2007,2010,3,"T",10,2,1,1,6533,"Q",2041,"H","Nor","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2009,2,"P",11,1,2,2,33358,"Q",1574,"S","Moh","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2010,3,"P",23,4,5,4,49535,NA,1531,"F","DD","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2011,4,"P",29,7,5,4,84644,NA,1531,"F","Chst","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2012,5,"P",32,9,3,2,127570,NA,1513,"H","YR","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2013,6,"P",26,4,2,2,62635,NA,1531,"H","YR","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2014,7,"P",20,2,1,1,10575,NA,1561,"H","BR","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2015,8,"P",29,3,1,5,11411,NA,1550,"H","Stga","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2016,9,"P",19,2,5,1,7007,NA,1564,"H","Scar","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2017,10,"P",17,1,2,3,5198,NA,1582,"H","Oxfd","DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2018,11,"P",9,0,0,2,1685,NA,0,NA,NA,"DOM"
"4E8703","RAFFERTY HANOVER","G","WESTERN IDEAL","RAZZLE HANOVER",2007,2019,12,"P",15,1,0,2,3533,NA,2011,"H","Scar","DOM"
"6E0028","ALLYSUM HANOVER","M","ALLAMERICAN NATIVE","ARMBRO ALLYSUM",2007,2010,3,"P",3,1,0,0,360,NA,0,NA,NA,"DOM"
"6E0028","ALLYSUM HANOVER","M","ALLAMERICAN NATIVE","ARMBRO ALLYSUM",2007,2011,4,"P",1,0,0,0,30,NA,0,NA,NA,"DOM"
"6EC592","HAVEN HANOVER","G","TEJANO","HONEYDEW HANOVER",2007,2010,3,"T",4,0,0,1,600,"Q",2043,"H","Fhld","DOM"
"3E3896","TUFF ENUFF HANOVER","G","WESTERN HANOVER","THE BIG SOW",2007,2009,2,"P",2,0,0,0,240,NA,0,NA,NA,"DOM"
"3E3896","TUFF ENUFF HANOVER","G","WESTERN HANOVER","THE BIG SOW",2007,2010,3,"P",28,3,8,7,59970,NA,1542,"M","M","DOM"
"3E3896","TUFF ENUFF HANOVER","G","WESTERN HANOVER","THE BIG SOW",2007,2011,4,"P",24,2,5,3,42245,NA,1554,"H","YR","DOM"
"3E3896","TUFF ENUFF HANOVER","G","WESTERN HANOVER","THE BIG SOW",2007,2012,5,"P",14,1,2,0,4880,NA,1584,"H","Scar","DOM"
"5ED741","PURITAN HANOVER","H","WESTERN HANOVER","PILGRIMS GIGGLES",2007,2009,2,"P",5,1,0,0,1716,"Q",1591,"F","RcR","DOM"
"5ED741","PURITAN HANOVER","H","WESTERN HANOVER","PILGRIMS GIGGLES",2007,2010,3,"P",5,0,0,0,164,NA,0,NA,NA,"DOM"
"9E7217","FORBES HANOVER","G","CANTAB HALL","FINANCIAL MATTERS",2007,2009,2,"T",2,0,0,0,1600,NA,0,NA,NA,"DOM"
"9E7217","FORBES HANOVER","G","CANTAB HALL","FINANCIAL MATTERS",2007,2010,3,"P",2,0,0,0,0,NA,0,NA,NA,"DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2010,3,"P",21,1,3,3,8220,NA,1584,"H","Stga","DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2011,4,"P",32,3,9,6,25109,NA,1561,"H","Stga","DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2012,5,"P",27,3,6,5,23178,NA,1554,"H","Stga","DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2013,6,"P",30,5,6,5,37778,NA,1553,"H","Stga","DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2014,7,"P",34,5,10,4,37427,NA,1550,"H","Stga","DOM"
"4E2219","SUBLIMINAL HANOVER","G","ART MAJOR","SUB ROSA HANOVER",2007,2015,8,"P",20,1,1,1,2356,NA,2004,"H","Leb","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2009,2,"T",10,2,1,1,69460,NA,1574,"F","Chst","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2010,3,"T",17,3,3,1,26572,NA,1562,"F","Mea","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2011,4,"T",20,2,3,5,16192,NA,1581,"F","Mea","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2012,5,"T",36,4,4,4,23290,NA,1583,"H","Btva","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2013,6,"T",25,2,3,5,15156,NA,2022,"H","BR","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2014,7,"T",25,1,3,3,7712,NA,2014,"H","Btva","DOM"
"4E2458","UPANDOVER HANOVER","G","ANDOVER HALL","UP FRONT LISA",2007,2015,8,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"5ED782","UNDRA HANOVER","M","CANTAB HALL","UP FRONT DONERAIL",2007,2009,2,"T",14,0,1,1,12776,NA,0,NA,NA,"DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2009,2,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2010,3,"T",15,4,2,0,24042,NA,1572,"F","GeoD","DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2011,4,"T",23,3,6,1,45501,NA,1551,"S","Moh","DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2012,5,"T",34,5,4,1,46903,NA,1551,"S","Moh","DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2013,6,"T",34,6,4,4,46217,NA,1541,"S","Moh","DOM"
"2EA025","TORNADO TIM","G","REVENUE S","CYCLONE ANNIE",2007,2014,7,"T",39,10,2,5,45317,NA,1554,"F","GeoD","DOM"
