"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"9PN938","SHADOW TAIL","G","SHADOW PLAY","SHARK TAIL",2016,2018,2,"P",11,0,4,1,9441,NA,0,NA,NA,"DOM"
"9PN938","SHADOW TAIL","G","SHADOW PLAY","SHARK TAIL",2016,2019,3,"P",2,0,0,0,0,NA,0,NA,NA,"DOM"
"9PN938","SHADOW TAIL","G","SHADOW PLAY","SHARK TAIL",2016,2020,4,"P",16,7,1,2,22004,NA,1542,"H","GRvr","DOM"
"9PN938","SHADOW TAIL","G","SHADOW PLAY","SHARK TAIL",2016,2021,5,"P",28,5,8,2,29552,NA,1551,"H","FlmD","DOM"
"9PN938","SHADOW TAIL","G","SHADOW PLAY","SHARK TAIL",2016,2022,6,"P",3,0,1,0,1989,NA,0,NA,NA,"DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2018,2,"P",10,0,1,2,21926,"Q",1551,"S","HoP","DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2019,3,"P",22,8,5,3,195630,NA,1493,"S","HoP","DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2020,4,"P",11,1,0,5,17820,NA,1494,"M","M","DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2021,5,"P",19,3,4,5,55873,NA,1510,"S","HoP","DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2022,6,"P",9,1,1,1,11750,NA,1503,"F","TgDn","DOM"
"5P3717","ROCKIE GOT FRAMED","G","ROCKIN IMAGE","CAROUSEL FRAME",2016,2023,7,"P",21,2,5,3,38730,NA,1503,"S","HoP","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2018,2,"P",8,2,1,2,11600,NA,2134,"H","StPtr","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2019,3,"P",20,7,5,2,56507,NA,1522,"F","Aces","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2020,4,"P",22,5,8,2,37015,NA,1523,"F","Aces","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2021,5,"P",23,8,7,3,88461,NA,1511,"F","Aces","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2022,6,"P",20,1,6,7,58971,NA,1541,"F","Aces","DOM"
"3P0601","SB BODACIOUS","G","VORACIOUS HANOVER","SALSA HANOVER",2016,2023,7,"P",18,3,7,2,63639,NA,1514,"F","Aces","DOM"
"8PN724","BETTER SINGLE","M","BETTERTHANCHEDDAR","IMOUTAHERE",2016,2018,2,"P",10,3,1,1,163499,NA,1531,"S","Wbsb","DOM"
"8PN724","BETTER SINGLE","M","BETTERTHANCHEDDAR","IMOUTAHERE",2016,2019,3,"P",24,1,2,4,59306,NA,1510,"S","Wbsb","DOM"
"8PN724","BETTER SINGLE","M","BETTERTHANCHEDDAR","IMOUTAHERE",2016,2020,4,"P",12,1,1,2,11615,NA,1521,"S","Wbsb","DOM"
"7P1923","EXPLOSIVE FORM","G","EXPLOSIVE MATTER","EXOTIC FORM",2016,2018,2,"T",5,0,1,0,3450,NA,0,NA,NA,"DOM"
"7P1923","EXPLOSIVE FORM","G","EXPLOSIVE MATTER","EXOTIC FORM",2016,2019,3,"T",22,3,4,5,80676,NA,1563,"F","Mea","DOM"
"7P1923","EXPLOSIVE FORM","G","EXPLOSIVE MATTER","EXOTIC FORM",2016,2020,4,"T",21,1,3,2,20681,NA,1573,"F","Mea","DOM"
"7P1923","EXPLOSIVE FORM","G","EXPLOSIVE MATTER","EXOTIC FORM",2016,2021,5,"T",11,1,1,2,8125,NA,1570,"F","Mea","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2018,2,"P",7,0,1,1,22000,"Q",2023,"H","Har","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2019,3,"P",27,7,5,4,92678,NA,1511,"F","Phl","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2020,4,"P",22,3,3,4,34984,NA,1501,"F","Phl","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2021,5,"P",32,8,5,5,89866,NA,1494,"F","DD","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2022,6,"P",26,5,3,4,45285,NA,1522,"F","Aces","DOM"
"2P8549","NUMBERED ACCOUNT","G","RODDY'S BAGS AGAIN","MATHAMOMICS",2016,2023,7,"P",7,0,1,2,1839,NA,0,NA,NA,"DOM"
"2P3334","BLACK TUXEDO","G","SAGEBRUSH","FOX VALLEY DAZZLE",2016,2019,3,"P",15,0,2,9,4382,NA,0,NA,NA,"DOM"
"2P3334","BLACK TUXEDO","G","SAGEBRUSH","FOX VALLEY DAZZLE",2016,2020,4,"P",2,0,0,0,140,NA,0,NA,NA,"DOM"
"6P2402","HESACAT","G","TELLITLIKEITIS","INTIMATE KNOWLEDGE",2016,2018,2,"P",15,2,3,1,32750,NA,1531,"S","HoP","DOM"
"6P2402","HESACAT","G","TELLITLIKEITIS","INTIMATE KNOWLEDGE",2016,2019,3,"P",6,0,0,1,1700,NA,0,NA,NA,"DOM"
